player_id;team_external_id;player_name_pt;player_name_en;team_name_pt;team_name_en;team_abbreviation;position_code;position_pt;position_en;player_image_url;team_flag_url;rank_goalkeeper_saves;goalkeeper_saves;goalkeeper_defensive_actions_inside_penalty_area;goalkeeper_defensive_actions_outside_penalty_area;rank_goalkeeper_defensive_actions_inside_penalty_area;rank_goalkeeper_defensive_actions_outside_penalty_area
494349;285023_43860;Benjamin Asare;Benjamin Asare;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/59f40ed7-650e-48ef-8f42-8a8a326b0504/ASARE-Benjamin_494349;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;35;8;55;47;37;34
506277;285023_43860;Joseph Anang;Joseph Anang;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/ddb39257-eec9-4097-bc08-6f1dbe034dec/ANANG-Joseph_506277;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;56;0;0;0;60;60
386473;285023_43860;Lawrence Ati Zigi;Lawrence Ati Zigi;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/ff31f89d-7f19-4a3e-b213-6c943ec77fb4/ZIGI-Lawrence-Ati_386473;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;35;8;31;30;51;50
466835;285023_43908;Alexandre Pierre;Alexandre Pierre;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/68889bed-7acd-4e67-a3bd-a18a300e70a0/PIERRE-Alexandre_466835;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;56;0;0;0;60;60
295922;285023_43908;Johny Placide;Johny Placide;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/3b4c1123-62c6-4267-9d22-6d138e461a54/PLACIDE-Johny_295922;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;17;13;56;48;36;32
466853;285023_43908;Josue Duverger;Josue Duverger;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/7f30e7f0-2c85-4fa5-aa66-09d5bd74f435/DUVERGER-Josue_466853;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;56;0;0;0;60;60
380007;285023_43817;Alireza Beiranvand;Alireza Beiranvand;RI do Irã;IR Iran;IRN;GK;;;https://digitalhub.fifa.com/transform/c8cf4e84-2bd2-4e20-bb73-c7f14a935b73/BEIRANVAND-Alireza_380007;https://api.fifa.com/api/v3/picture/flags-sq-3/IRN;10;15;75;65;20;19
314255;285023_43817;Hossein Hosseini;Hossein Hosseini;RI do Irã;IR Iran;IRN;GK;;;https://digitalhub.fifa.com/transform/65922b90-e1f9-453b-aa7c-b436746fce3c/HOSSEINI-Hossein_314255;https://api.fifa.com/api/v3/picture/flags-sq-3/IRN;56;0;0;0;60;60
448507;285023_43817;Payam Niazmand;Payam Niazmand;RI do Irã;IR Iran;IRN;GK;;;https://digitalhub.fifa.com/transform/5a4d3867-6d31-4e40-8718-312350b29fb4/NIAZMAND-Payam_448507;https://api.fifa.com/api/v3/picture/flags-sq-3/IRN;56;0;0;0;60;60
433571;285023_43818;Ahmed Basil;Ahmed Basil;Iraque;Iraq;IRQ;GK;;;https://digitalhub.fifa.com/transform/a9d30885-9966-457c-9a44-07e5cf8eee93/AHMED-BASIL_433571;https://api.fifa.com/api/v3/picture/flags-sq-3/IRQ;53;3;43;36;46;46
368744;285023_43818;Fahad Talib;Fahad Talib;Iraque;Iraq;IRQ;GK;;;https://digitalhub.fifa.com/transform/70d6d7cd-dcf4-4952-bee5-0f0b869aead7/FAHAD-TALIB_368744;https://api.fifa.com/api/v3/picture/flags-sq-3/IRQ;56;0;0;0;60;60
347085;285023_43818;Jalal Hassan;Jalal Hassan;Iraque;Iraq;IRQ;GK;;;https://digitalhub.fifa.com/transform/a7f7a32a-4968-462b-9c34-e8a0d0530b99/JALAL-HASSAN_347085;https://api.fifa.com/api/v3/picture/flags-sq-3/IRQ;42;7;51;45;42;39
431223;285023_43820;Abdallah Alfakhori;Abdallah Alfakhori;Jordânia;Jordan;JOR;GK;;;https://digitalhub.fifa.com/transform/3f7678fc-eab6-4d7c-81a4-2341b7f3ab10/ABDALLAH-ALFAKHORI_431223;https://api.fifa.com/api/v3/picture/flags-sq-3/JOR;56;0;0;0;60;60
483127;285023_43820;Nour Baniateyah;Nour Baniateyah;Jordânia;Jordan;JOR;GK;;;https://digitalhub.fifa.com/transform/6c4042af-5cac-4b05-94b8-c57aa8f3083f/NOUR-BANIATEYAH_483127;https://api.fifa.com/api/v3/picture/flags-sq-3/JOR;56;0;0;0;60;60
397894;285023_43820;Yazeed Abulaila;Yazeed Abulaila;Jordânia;Jordan;JOR;GK;;;https://digitalhub.fifa.com/transform/155d55d5-4b94-4b50-9ed1-b9a102a501a2/YAZEED-ABULAILA_397894;https://api.fifa.com/api/v3/picture/flags-sq-3/JOR;35;8;70;56;23;26
403305;285023_43819;Keisuke Osako;Keisuke Osako;Japão;Japan;JPN;GK;;;https://digitalhub.fifa.com/transform/4304491f-2404-4e52-a9c3-948c95a01f5a/OSAKO-Keisuke_403305;https://api.fifa.com/api/v3/picture/flags-sq-3/JPN;56;0;0;0;60;60
511710;285023_43819;Tomoki Hayakawa;Tomoki Hayakawa;Japão;Japan;JPN;GK;;;https://digitalhub.fifa.com/transform/d81ad421-1126-4549-a89f-3fafd8db2a97/HAYAKAWA-Tomoki_511710;https://api.fifa.com/api/v3/picture/flags-sq-3/JPN;56;0;0;0;60;60
405530;285023_43819;Zion Suzuki;Zion Suzuki;Japão;Japan;JPN;GK;;;https://digitalhub.fifa.com/transform/7a045252-7c97-4f14-9493-4977e3e3156e/SUZUKI-Zion_405530;https://api.fifa.com/api/v3/picture/flags-sq-3/JPN;5;17;78;64;19;20
397753;285023_43822;Jo Hyeonwoo;Jo Hyeonwoo;República da Coreia;Korea Republic;KOR;GK;;;https://digitalhub.fifa.com/transform/15bfe432-3e69-4900-b736-50ee6fd20cb5/JO-Hyeonwoo_397753;https://api.fifa.com/api/v3/picture/flags-sq-3/KOR;56;0;0;0;60;60
274281;285023_43822;Kim Seunggyu;Kim Seunggyu;República da Coreia;Korea Republic;KOR;GK;;;https://digitalhub.fifa.com/transform/d4c2a3d5-e369-4813-97eb-16669f83dd78/KIM-Seunggyu_274281;https://api.fifa.com/api/v3/picture/flags-sq-3/KOR;23;11;42;34;47;47
402820;285023_43822;Song Bumkeun;Song Bumkeun;República da Coreia;Korea Republic;KOR;GK;;;https://digitalhub.fifa.com/transform/a45e87b1-92c4-4d33-ac9b-1bca03075996/SONG-Bumkeun_402820;https://api.fifa.com/api/v3/picture/flags-sq-3/KOR;56;0;0;0;60;60
339746;285023_43835;Ahmed Alkassar;Ahmed Alkassar;Arábia Saudita;Saudi Arabia;KSA;GK;;;https://digitalhub.fifa.com/transform/1354d5cd-4cb5-4494-9033-efd38b3f1ac0/AHMED-ALKASSAR_339746;https://api.fifa.com/api/v3/picture/flags-sq-3/KSA;56;0;0;0;60;60
396885;285023_43835;Mohammed Alowais;Mohammed Alowais;Arábia Saudita;Saudi Arabia;KSA;GK;;;https://digitalhub.fifa.com/transform/be2d88f0-e368-49ef-9a33-c7585955c495/MOHAMMED-ALOWAIS_396885;https://api.fifa.com/api/v3/picture/flags-sq-3/KSA;5;17;86;78;12;7
419287;285023_43835;Nawaf Alaqidi;Nawaf Alaqidi;Arábia Saudita;Saudi Arabia;KSA;GK;;;https://digitalhub.fifa.com/transform/6b95e954-e3fd-4ba9-a171-690c9626eced/NAWAF-ALAQIDI_419287;https://api.fifa.com/api/v3/picture/flags-sq-3/KSA;56;0;0;0;60;60
371553;285023_43872;Ahmed Reda Tagnaouti;Ahmed Reda Tagnaouti;Marrocos;Morocco;MAR;GK;;;https://digitalhub.fifa.com/transform/3efabccf-6fc5-4192-b000-ea89f4b63c06/TAGNAOUTI-Ahmed-Reda_371553;https://api.fifa.com/api/v3/picture/flags-sq-3/MAR;56;0;0;0;60;60
395755;285023_43872;Munir El Kajoui;Munir El Kajoui;Marrocos;Morocco;MAR;GK;;;https://digitalhub.fifa.com/transform/20f762ed-3248-4b2d-8a4c-5f1e3891291f/EL-KAJOUI-Munir_395755;https://api.fifa.com/api/v3/picture/flags-sq-3/MAR;56;0;0;0;60;60
356956;285023_43872;Yassine Bounou;Yassine Bounou;Marrocos;Morocco;MAR;GK;;;https://digitalhub.fifa.com/transform/338ae8a7-8734-423e-ae54-2f783dba77ce/BOUNOU-Yassine_356956;https://api.fifa.com/api/v3/picture/flags-sq-3/MAR;19;12;85;67;13;18
